de rib|rib
de wervel|vertebra
de blaas|bladder
de ader|vein
de slagader|artery
de vagina|vagina
het sperma|sperm
de penis|penis
de zaadbal|testicle
sappig|juicy
pittig|hot (spicy)
zout|salty
rauw|raw
gekookt|boiled
verlegen|shy
gulzig|greedy
streng|strict
doof|deaf
